"can_id","group","priority","name","seg_one_field","seg_one_type","seg_one_unit","seg_two_field","seg_two_type","seg_two_unit","status","note"
"0x05C","BMS(HV) BOT","SD_ONLY(밸런싱)","CB_Status1","CB_Status1","u16","u16 비트맵","","","","확정",""
"0x065","BMS(HV) BOT","SD_ONLY(밸런싱)","CB_Status2[0..15] 비트맵","CB_Status2[0..15] 비트맵","u16","u16×4/frame","","","","확정",""
"0x066","BMS(HV) BOT","SD_ONLY(밸런싱)","CB_Status2[0..15] 비트맵","CB_Status2[0..15] 비트맵","u16","u16×4/frame","","","","확정",""
"0x067","BMS(HV) BOT","SD_ONLY(밸런싱)","CB_Status2[0..15] 비트맵","CB_Status2[0..15] 비트맵","u16","u16×4/frame","","","","확정",""
"0x068","BMS(HV) BOT","SD_ONLY(밸런싱)","CB_Status2[0..15] 비트맵","CB_Status2[0..15] 비트맵","u16","u16×4/frame","","","","확정",""
"0x069","BMS(HV) BOT","SD_ONLY(밸런싱)","CB_Status3[0..15] 비트맵","CB_Status3[0..15] 비트맵","u16","u16×4/frame","","","","확정",""
"0x06A","BMS(HV) BOT","SD_ONLY(밸런싱)","CB_Status3[0..15] 비트맵","CB_Status3[0..15] 비트맵","u16","u16×4/frame","","","","확정",""
"0x06B","BMS(HV) BOT","SD_ONLY(밸런싱)","CB_Status3[0..15] 비트맵","CB_Status3[0..15] 비트맵","u16","u16×4/frame","","","","확정",""
"0x06C","BMS(HV) BOT","SD_ONLY(밸런싱)","CB_Status3[0..15] 비트맵","CB_Status3[0..15] 비트맵","u16","u16×4/frame","","","","확정",""
"0x05A","BMS(HV) BOT","SD_ONLY(Safety)","PF_ProtectionsTriggered","PF_ProtectionsTriggered","u8","u8×8","","","","확정",""
"0x05B","BMS(HV) BOT","SD_ONLY(PF)","PFStatus A/B/C/D","PFStatus A/B/C/D","u8","u8×8","","","","확정",""
"0x123","BMS(HV) BOT","SD_ONLY(LEGACY)","FET_Status","FET_Status","u8","","CHG","u8","","확정","확인 필요: 3개 이상 필드"
"0x044","BMS(HV) TOP","PRIMARY","Global_Fault","Global_Fault","u32","","BattStat","u16","","확정","확인 필요: 3개 이상 필드"
"0x045","BMS(HV) TOP","PRIMARY","Stack_Voltage","Stack_Voltage","u32","mV","Pack_Voltage","u32","mV","확정",""
"0x046","BMS(HV) TOP","PRIMARY","MaxCell_Voltage","MaxCell_Voltage","u16","mV","MinCell_Voltage","u16","mV","확정","확인 필요: 3개 이상 필드"
"0x047","BMS(HV) TOP","PRIMARY","SOC_Permille","SOC_Permille","u16","0.1%","","","","확정",""
"0x055","BMS(HV) TOP","DETAIL(온도)","BOT 0x04C와 동일 항목","","","","","","","확정",""
"0x056","BMS(HV) TOP","DETAIL(온도)","BOT 0x04D와 동일 항목","","","","","","","확정",""
"0x057","BMS(HV) TOP","DETAIL(쿨롱)","BOT 0x04E와 동일 항목","","","","","","","확정",""
"0x058","BMS(HV) TOP","DETAIL(쿨롱)","BOT 0x04F와 동일 항목","","","","","","","확정",""
"0x059","BMS(HV) TOP","DETAIL(쿨롱)","BOT 0x050과 동일 항목","","","","","","","확정",""
"0x051","BMS(HV) TOP","DETAIL(셀전압)","BOT과 동일 항목","","","","","","","확정",""
"0x052","BMS(HV) TOP","DETAIL(셀전압)","BOT과 동일 항목","","","","","","","확정",""
"0x053","BMS(HV) TOP","DETAIL(셀전압)","BOT과 동일 항목","","","","","","","확정",""
"0x054","BMS(HV) TOP","DETAIL(셀전압)","BOT과 동일 항목","","","","","","","확정",""
"0x070","BMS(HV) TOP","SD_ONLY(CUV)","BOT과 동일 항목","","","","","","","확정",""
"0x071","BMS(HV) TOP","SD_ONLY(CUV)","BOT과 동일 항목","","","","","","","확정",""
"0x072","BMS(HV) TOP","SD_ONLY(CUV)","BOT과 동일 항목","","","","","","","확정",""
"0x073","BMS(HV) TOP","SD_ONLY(CUV)","BOT과 동일 항목","","","","","","","확정",""
"0x074","BMS(HV) TOP","SD_ONLY(COV)","BOT과 동일 항목","","","","","","","확정",""
"0x075","BMS(HV) TOP","SD_ONLY(COV)","BOT과 동일 항목","","","","","","","확정",""
"0x076","BMS(HV) TOP","SD_ONLY(COV)","BOT과 동일 항목","","","","","","","확정",""
"0x077","BMS(HV) TOP","SD_ONLY(COV)","BOT과 동일 항목","","","","","","","확정",""
"0x078","BMS(HV) TOP","SD_ONLY(밸런싱)","BOT과 동일 항목","","","","","","","확정",""
"0x079","BMS(HV) TOP","SD_ONLY(밸런싱)","BOT과 동일 항목","","","","","","","확정",""
"0x07A","BMS(HV) TOP","SD_ONLY(밸런싱)","BOT과 동일 항목","","","","","","","확정",""
"0x07B","BMS(HV) TOP","SD_ONLY(밸런싱)","BOT과 동일 항목","","","","","","","확정",""
"0x06D","BMS(HV) TOP","SD_ONLY(Safety/PF)","BOT과 동일 항목","","","","","","","확정",""
"0x223","BMS(HV) TOP","SD_ONLY(LEGACY)","FET_Status","FET_Status","u8","","CHG","u8","","확정","확인 필요: 3개 이상 필드"
"0x310","MPPT #1","PRIMARY","Input_Voltage","Input_Voltage","float32","V","Input_Current","float32","A","확정",""
"0x311","MPPT #1","PRIMARY","Output_Voltage","Output_Voltage","float32","V","Output_Current","float32","A","확정",""
"0x312","MPPT #1","DETAIL","Mosfet_Temp","Mosfet_Temp","float32","℃","Controller_Temp","float32","℃","확정",""
"0x313","MPPT #1","SD_ONLY","12V_Aux","12V_Aux","float32","V","3V_Aux","float32","V","확정",""
"0x314","MPPT #1","DETAIL","MaxOutput_Voltage","MaxOutput_Voltage","float32","V","MaxInput_Current","float32","A","확정",""
"0x315","MPPT #1","DETAIL","Error_Flags","Error_Flags","u8","","Mode","u8","","확정",""
"0x316","MPPT #1","DETAIL","PowerConn_Voltage","PowerConn_Voltage","float32","V","PowerConn_Temp","float32","℃","확정",""
"0x320","MPPT #2","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x320","base=0x320","","","","확정",""
"0x321","MPPT #2","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x320","base=0x320","","","","확정",""
"0x322","MPPT #2","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x320","base=0x320","","","","확정",""
"0x323","MPPT #2","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x320","base=0x320","","","","확정",""
"0x324","MPPT #2","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x320","base=0x320","","","","확정",""
"0x325","MPPT #2","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x320","base=0x320","","","","확정",""
"0x326","MPPT #2","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x320","base=0x320","","","","확정",""
"0x330","MPPT #3","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x330","base=0x330","","","","확정",""
"0x331","MPPT #3","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x330","base=0x330","","","","확정",""
"0x332","MPPT #3","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x330","base=0x330","","","","확정",""
"0x333","MPPT #3","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x330","base=0x330","","","","확정",""
"0x334","MPPT #3","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x330","base=0x330","","","","확정",""
"0x335","MPPT #3","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x330","base=0x330","","","","확정",""
"0x336","MPPT #3","-","#1과 동일 오프셋 구조","#1과 동일 오프셋 구조","base=0x330","base=0x330","","","","확정",""
"0x401","Motor","DETAIL","Limit_Flags","Limit_Flags","u16","","Error_Flags","u16","","잠정","VCU 확정 전 WaveSculptor22 placeholder; 확인 필요: 3개 이상 필드"
"0x402","Motor","PRIMARY","Bus_Voltage","Bus_Voltage","float32","V","Bus_Current","float32","A","잠정","VCU 확정 전 WaveSculptor22 placeholder"
"0x403","Motor","PRIMARY","Motor_Velocity","Motor_Velocity","float32","rpm","Vehicle_Velocity","float32","m/s","잠정","VCU 확정 전 WaveSculptor22 placeholder"
"0x40B","Motor","PRIMARY","Motor_Temp","Motor_Temp","float32","℃","HeatSink_Temp","float32","℃","잠정","VCU 확정 전 WaveSculptor22 placeholder"
"0x40E","Motor","PRIMARY","Odometer","Odometer","float32","m","DC_Bus_AmpHours","float32","Ah","잠정","VCU 확정 전 WaveSculptor22 placeholder"
"0x40C","Motor","DETAIL","DSP_Board_Temp","DSP_Board_Temp","float32","℃","","","","잠정","VCU 확정 전 WaveSculptor22 placeholder"
"0x404","Motor","DETAIL","Phase_B_Current","Phase_B_Current","float32","A","Phase_C_Current","float32","A","잠정","VCU 확정 전 WaveSculptor22 placeholder"
"0x405","Motor","SD_ONLY","Vd","Vd","float32","V","Vq","float32","V","잠정","VCU 확정 전 WaveSculptor22 placeholder"
"0x406","Motor","SD_ONLY","Id","Id","float32","A","Iq","float32","A","잠정","VCU 확정 전 WaveSculptor22 placeholder"
"0x407","Motor","PRIMARY","BEMFd","BEMFd","float32","V","BEMFq","float32","V","잠정","VCU 확정 전 WaveSculptor22 placeholder"
"0x408","Motor","SD_ONLY","15V 레일","15V 레일","float32","V","","","","잠정","VCU 확정 전 WaveSculptor22 placeholder; reserved bytes included"
"0x409","Motor","SD_ONLY","3.3V 레일","3.3V 레일","float32","V","1.9V 레일","float32","V","잠정","VCU 확정 전 WaveSculptor22 placeholder"
"0x417","Motor","SD_ONLY","Slip_Speed","Slip_Speed","float32","Hz","","","","잠정","VCU 확정 전 WaveSculptor22 placeholder; reserved bytes included"
"0x601","BMS(LV)","DETAIL","CMU","CMU","셀 관리 유닛","셀 관리 유닛","개별 셀의 전압","mV","mV","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x602","BMS(LV)","DETAIL","CMU","CMU","셀 관리 유닛","셀 관리 유닛","개별 셀의 전압","mV","mV","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x603","BMS(LV)","DETAIL","CMU","CMU","셀 관리 유닛","셀 관리 유닛","개별 셀의 전압","mV","mV","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x6F4","BMS(LV)","PRIMARY","팩 충전 상태","팩 충전 상태","SoC, 소모된 Ah 및 0~100% 비율","SoC","","","","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x6F5","BMS(LV)","DETAIL","밸런싱 SoC 정보","","","","","","","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x6F6","BMS(LV)","DETAIL","충전기","충전기","Charger","Charger","제어 정보","충전전압 오차+온도 마진+방전전압 오차+총배터리 용량>충전안전 마진+방전 안전 마진","충전전압 오차+온도 마진+방전전압 오차+총배터리 용량>충전안전 마진+방전 안전 마진","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x6F7","BMS(LV)","DETAIL","프리차지","프리차지","Pre-charge","Pre-charge","컨택터","Contactor","Contactor","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x6F8","BMS(LV)","DETAIL","전체 배터리 팩 내 최소/최대 셀 전압 값과 해당 셀이 위치한 CMU 번호","","","","","","","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x6F9","BMS(LV)","DETAIL","최소/최대 셀 온도 값과 해당 CMU 번호","","","","","","","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x6FA","BMS(LV)","PRIMARY","배터리 팩 전체 전압","배터리 팩 전체 전압","mV","mV","및 전류","mA","mA","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x6FB","BMS(LV)","DETAIL","배터리 팩 상태 플래그","배터리 팩 상태 플래그","과전압, 저전압, 과온도, 측정 오류, 통신 타임아웃 등","과전압","","","","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x6FC","BMS(LV)","DETAIL","팩 쿨링 팬 속도","팩 쿨링 팬 속도","RPM","RPM","","","","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x6FD","BMS(LV)","SD_ONLY","확장된 배터리 팩 상태 정보","","","","","","","잠정","LV BMS 확정 전 OrionBMS placeholder"
"0x600","BMS(LV)","SD_ONLY","DeviceID","DeviceID","u32","","SerialNumber","u32","","잠정","LV BMS 확정 전 OrionBMS placeholder"
