DY,HR,temperature_2m,wind_speed_10m,wind_direction_10m,shortwave_radiation,surface_pressure,temperature_2m_std,wind_speed_10m_std,shortwave_radiation_std,surface_pressure_std,total_distance_m,lat,lon
22,7,22.28333333,8.133333333,115.5,15.5,1010.7,1.475691928,4.563186021,0.547722558,1.171324037,10000,-12.4394371,130.9062213
22,8,24.1,8.1,115,175.8333333,1011.316667,1.701763791,3.693778553,10.12752026,1.207338671,10000,-12.4394371,130.9062213
22,9,26.53333333,7.516666667,114.5,410,1011.466667,1.206095629,2.705857843,13.57939616,1.162181856,10000,-12.4394371,130.9062213
22,10,29,6.383333333,118.1666667,622.1666667,1011.533333,0.669328021,3.814402531,10.5340717,1.083820403,10000,-12.4394371,130.9062213
22,11,30.88333333,6.483333333,101.6666667,785.5,1010.783333,0.630608172,5.008160008,12.50199984,1.112504682,10000,-12.4394371,130.9062213
22,12,31.96666667,7.4,243.6666667,878.3333333,1009.766667,0.516397779,4.73539861,19.76528944,1.103932365,10000,-12.4394371,130.9062213
22,13,31.51666667,12.13333333,283.1666667,892.5,1008.683333,0.899814796,4.385278402,31.41178123,1.135634918,10000,-12.4394371,130.9062213
22,14,30.85,16.4,281,838,1007.583333,1.520197356,5.730619513,38.93584467,1.182229532,10000,-12.4394371,130.9062213
22,15,30.31666667,16.51666667,282.1666667,706.6666667,1006.85,1.333291666,4.310645737,53.23783116,1.10408333,10000,-12.4394371,130.9062213
22,16,29.78333333,15.7,283.8333333,544,1006.566667,0.611282804,1.918332609,15.00666519,1.057670396,10000,-12.4394371,130.9062213
22,17,29.06666667,12.95,163.6666667,327.8333333,1006.766667,0.656251984,3.065126425,7.521081483,1.065207335,10000,-12.4394371,130.9062213
22,18,27.8,8.766666667,262.1666667,105.3333333,1007.3,0.794984277,3.873843914,2.503331114,0.975704873,10000,-12.4394371,130.9062213
23,7,22.55,5.466666667,114.1666667,15.66666667,1010.383333,0.891627725,2.76381379,1.366260102,1.455220487,10000,-12.4394371,130.9062213
23,8,24.85,6.616666667,121,174.3333333,1010.933333,0.700713922,1.986370224,18.02960528,1.408071968,10000,-12.4394371,130.9062213
23,9,27.2,6.283333333,113.3333333,411.1666667,1011.066667,0.583095189,2.837898283,7.98540335,1.51217283,10000,-12.4394371,130.9062213
23,10,29.3,6.75,98,621.5,1011.116667,0.586515132,3.304996218,6.534523701,1.452469162,10000,-12.4394371,130.9062213
23,11,31.46666667,9.316666667,92.66666667,781.3333333,1010.416667,0.628225013,3.991699722,11.25462868,1.271875256,10000,-12.4394371,130.9062213
23,12,32.73333333,10.53333333,136.5,875,1009.333333,0.520256347,4.886580263,24.68197723,1.157007635,10000,-12.4394371,130.9062213
23,13,32.53333333,12.23333333,236.5,884,1008.216667,1.103932365,4.326045153,55.68123562,1.119672571,10000,-12.4394371,130.9062213
23,14,31.78333333,12.21666667,248,838.8333333,1007.183333,1.808221963,7.451017828,47.21616955,1.116094381,10000,-12.4394371,130.9062213
23,15,31.55,11.16666667,330.6666667,710.8333333,1006.366667,1.021273715,5.905477683,63.10441083,0.993310962,10000,-12.4394371,130.9062213
23,16,30.63333333,13.78333333,276.5,532.5,1006.133333,0.758067719,2.605698883,48.43449184,1.038588786,10000,-12.4394371,130.9062213
23,17,29.43333333,14.01666667,274.1666667,320.6666667,1006.283333,1.526652111,2.707335714,30.88473193,1.098028536,10000,-12.4394371,130.9062213
23,18,27.7,11.4,270.8333333,104.5,1006.616667,1.638291793,3.572674069,6.090976933,1.077806414,10000,-12.4394371,130.9062213
24,7,22.76666667,9.766666667,125.5,16.83333333,1010.716667,1.105742586,6.658428243,0.98319208,1.140906073,10000,-12.4394371,130.9062213
24,8,24.6,9.6,126.3333333,179.6666667,1011.2,1.155854662,7.637015124,18.61898673,1.313011805,10000,-12.4394371,130.9062213
24,9,26.83333333,9.95,168,410,1011.316667,1.192755912,7.859198432,32.90592652,1.349691323,10000,-12.4394371,130.9062213
24,10,28.9,11.98333333,169.3333333,611.1666667,1011.433333,1.579873413,7.478079076,59.24328373,1.301793634,10000,-12.4394371,130.9062213
24,11,30.63333333,12.71666667,168.1666667,784.5,1010.766667,1.690759198,7.592210921,38.89344418,1.280104162,10000,-12.4394371,130.9062213
24,12,31.96666667,12.88333333,178.8333333,878.1666667,1009.783333,1.806285323,6.340478426,43.18062837,1.2655697,10000,-12.4394371,130.9062213
24,13,32.55,12.88333333,174.8333333,890.5,1008.633333,1.991732914,4.158565458,77.60090206,1.253262409,10000,-12.4394371,130.9062213
24,14,31.9,12.01666667,191.6666667,810.3333333,1007.666667,1.826472009,5.526451544,124.2926654,1.214358541,10000,-12.4394371,130.9062213
24,15,30.38333333,16.95,294.1666667,705,1007.066667,1.192336642,3.120096152,76.00263153,1.180960061,10000,-12.4394371,130.9062213
